id,importanceSampling
1,96.492169
2,43.638226
3,46.868792
4,48.807144
5,14.640722
6,58.840257
8,34.195447
9,29.055136
10,5.399574
11,13.112310
12,33.037941
13,28.700521
14,12.145091
16,30.487786
17,17.019884
19,12.978416
20,14.572052
21,79.744308
22,15.637258
23,89.381748
24,6.568864
25,16.372217
26,16.284756
27,17.519023
28,13.317139
29,18.689464
30,25.450096
31,35.325834
39,26.492947
32,46.648292
33,28.317080
34,40.830449
35,42.400072
36,17.008800
37,8.044493
38,14.888474
40,105.369493
41,42.725528
42,49.926774
43,49.853966
44,14.572092
45,48.671110
47,40.109849
48,31.871158
49,5.367585
50,19.524811
51,29.005499
52,29.882163
53,10.318754
55,32.569580
56,18.450017
58,19.014066
59,15.901000
60,69.190642
61,14.603539
62,103.948918
63,6.301463
64,16.063085
65,15.886600
66,16.255699
67,14.610260
68,19.671874
69,17.046501
70,26.658020
78,13.209943
71,48.288543
72,24.923961
73,33.966757
74,41.383442
75,17.596846
76,6.525319
77,15.451446
