parameter,value,CV,se_sa,rse_sa
Cl_pop,0.644685632626203,,0.0299973427791603,4.65301865918162
beta_Cl_SEX_1,-0.281709481904363,,0.0800852100040478,28.4282976429014
beta_Cl_logtClCr,0.272203552838281,,0.0330697641720152,12.1489098239883
V1_pop,5.04245133961179,,0.38694029981767,7.67365461274753
Q_pop,3.63979245876124,,0.520836650621425,14.3095150759965
V2_pop,5.12112219915106,,0.235812798292573,4.60470945863515
beta_V2_logtWT,1.31586804217699,,0.154405503475939,11.7341175959019
omega_Cl,0.302841828627635,30.9919990199124,0.0293060658896199,9.67702051675754
omega_V1,0.481010884841753,51.0222821892303,0.0562477756308618,11.6936596246396
omega_Q,0.80594792635841,95.6390596882804,0.146104318135589,18.1282578386603
omega_V2,0.186342367057304,18.7971743911001,0.0384660186727883,20.6426586075078
a,2.76801128307344,,0.148240979197727,5.35550487471743
